"1.","William Trubridge","https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550","(New Zealand)","102 m","102 m","102","0","2016-07-14","World Record Attempt - William Trubridge","https://events.aidainternational.org/EventResults-12"
"77.","Giorgos Sakkas","https://athletes.aidainternational.org/Profile-d210a7a9-8782-4383-833e-aa9a2728dc55","(Greece)","64 m","64 m","64","0","2015-09-11","2015 AIDA Depth World Championships","https://events.aidainternational.org/EventResults-1199"
"78.","John Moorcroft","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000360","(United Kingdom)","64 m","64 m","64","0","2015-09-11","2015 AIDA Depth World Championships","https://events.aidainternational.org/EventResults-1199"
"79.","Pepe Salcedo","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001437","(Mexico)","64 m","64 m","64","0","2018-05-20","Caribbean Cup 2018","https://events.aidainternational.org/EventResults-2119"
"80.","Marek Apjar","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000dd5","(Czech Republic)","63 m","63 m","63","0","2009-09-06","Triple Depth 2009","https://events.aidainternational.org/EventResults-963"
"81.","Anders Larsson","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000681","(Sweden)","63 m","63 m","63","0","2009-12-03","5th AIDA Individual World Championship 2009","https://events.aidainternational.org/EventResults-1554"
"82.","Mads Becker Jã˜Rgensen","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000089e","(Denmark)","63 m","63 m","63","0","2009-12-03","5th AIDA Individual World Championship 2009","https://events.aidainternational.org/EventResults-1554"
"83.","Mads Isberg","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000920","(Denmark)","63 m","63 m","63","0","2009-12-03","5th AIDA Individual World Championship 2009","https://events.aidainternational.org/EventResults-1554"
"84.","Dimitris Chatziaslan","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000005d1","(Greece)","63 m","63 m","63","0","2011-09-15","AIDA Individual Depth World Championship 2011","https://events.aidainternational.org/EventResults-917"
"85.","Nathan Watts","https://athletes.aidainternational.org/Profile-cd9e605c-d32f-41d8-bfbb-03b416a0ba57","(Australia)","63 m","63 m","63","0","2012-11-20","Suunto Vertical Blue 2012","https://events.aidainternational.org/EventResults-715"
"86.","Michael Board","https://athletes.aidainternational.org/Profile-8fe21cab-afda-4112-9bae-fa8204fa4648","(United Kingdom)","63 m","63 m","63","0","2017-11-30","Sail Sabang Freediving Competition 2017","https://events.aidainternational.org/EventResults-1958"
"87.","Jihoon Jang","https://athletes.aidainternational.org/Profile-a530387d-b341-4dfb-a787-38af42838c14","(Republic of Korea)","63 m","63 m","63","0","2019-09-02","AIDA Dahab Championship  2nd","https://events.aidainternational.org/EventResults-2456"
"88.","Pete Botman","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000b1b","(Netherlands)","63 m","63 m","63","0","2019-09-09","AIDA Depth World Championship 2019","https://events.aidainternational.org/EventResults-2272"
"89.","Igor Liberti","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000230","(Switzerland)","62 m","62 m","62","0","2012-05-03","Deans Blue Hole Mini-comp","https://events.aidainternational.org/EventResults-1561"
"90.","Nicolas Aubry","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000144b","(France)","62 m","62 m","62","0","2016-09-16","AIDA WORLD Championships Pre Competiton 2016","https://events.aidainternational.org/EventResults-258"
"91.","Mathieu Maraio","https://athletes.aidainternational.org/Profile-b2745daf-4720-4cf3-8b2b-7f5f53bc49f7","(France)","62 m","62 m","62","0","2017-08-29","AIDA World Depth Championship 2017","https://events.aidainternational.org/EventResults-1955"
"92.","Yang Zhang","https://athletes.aidainternational.org/Profile-50e297a3-d659-4e5e-b7c5-c3ecf15b6e2b","(China)","62 m","62 m","62","0","2019-05-12","SuperHOME CUP 2019 Freediving Competition","https://events.aidainternational.org/EventResults-2336"
"93.","Marianna Gillespie","https://athletes.aidainternational.org/Profile-cabfbb72-5ce5-411c-977a-8efec283e349","(France)","62 m","62 m","62","0","2019-07-27","AIDA Blue Ocean Depth Comp","https://events.aidainternational.org/EventResults-2520"
"94.","Jessea Wenjie Lu","https://athletes.aidainternational.org/Profile-60d5ef69-a645-4d18-bc97-284d2ab1a2d9","(China)","62 m","62 m","62","0","2019-09-08","AIDA Depth World Championship 2019","https://events.aidainternational.org/EventResults-2272"
"95.","Stig Åvall Severinsen","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000044","(Denmark)","61 m","61 m","61","0","2003-09-30","WR Attempt - Carlos COSTE and Stig SEVERINSEN (FIM CWT)","https://events.aidainternational.org/EventResults-1593"
"96.","Jakob Galbavy","https://athletes.aidainternational.org/Profile-140ba35f-c99b-4050-af8b-eb3c88d1e3b9","(Austria)","61 m","61 m","61","0","2013-09-15","AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","https://events.aidainternational.org/EventResults-928"
"97.","Frederic Sessa","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000a6d","(France)","61 m","61 m","61","0","2013-09-15","AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","https://events.aidainternational.org/EventResults-928"
"98.","Yaron Hoory","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000c87","(Israel)","61 m","61 m","61","0","2014-11-27","Suunto Vertical Blue","https://events.aidainternational.org/EventResults-1563"
"99.","Kurt Chambers","https://athletes.aidainternational.org/Profile-e2285ca9-8e8a-4b76-b8d6-50230b25520d","(United States)","61 m","61 m","61","0","2016-05-28","Caribbean Cup 2016","https://events.aidainternational.org/EventResults-95"
"100.","Eran Gilad","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000c86","(Israel)","61 m","61 m","61","0","2016-10-25","Big Blue World Cup","https://events.aidainternational.org/EventResults-49"
"101.","Ricardo Montans","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001654","(Argentina)","61 m","61 m","61","0","2017-08-19","Caribbean Cup 2017","https://events.aidainternational.org/EventResults-1954"
"102.","Hyunho Seong","https://athletes.aidainternational.org/Profile-d2d102f5-6786-448c-bb30-3156bc1d0650","(Republic of Korea)","61 m","61 m","61","0","2018-05-31","Red C cup (10th edition)","https://events.aidainternational.org/EventResults-2005"
"103.","Stephan Saxstad","https://athletes.aidainternational.org/Profile-162de131-05da-4853-803f-8c2e934df9c3","(France)","61 m","61 m","61","0","2019-06-22","NICE ABYSS CONTEST 2019","https://events.aidainternational.org/EventResults-2426"
"104.","Tongtong Xu","https://athletes.aidainternational.org/Profile-bdfa1dce-3ba2-4fcb-b6d3-bf97f4bd918a","(China)","61 m","61 m","61","0","2019-08-10","Deeper Blue Freediving Depth Competition 2019","https://events.aidainternational.org/EventResults-2334"
"105.","Alejandro Llinas","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001a02","(Colombia)","61 m","61 m","61","0","2019-10-15","AIDA OceanQuest Curaçao","https://events.aidainternational.org/EventResults-2578"
"106.","Alfredo Rosado","https://athletes.aidainternational.org/Profile-04a8fa43-245c-4dae-b374-8d547e8bf8d8","(Ecuador)","61 m","61 m","61","0","2019-11-26","AIDA Blue Element 2019","https://events.aidainternational.org/EventResults-2566"
"107.","Nathaniel Leazer","https://athletes.aidainternational.org/Profile-8b8a1bcb-b4e5-4545-80bb-1663b69ba667","(United States)","63 m","65 m","60","3","2019-10-15","Infinity Depth Games 5","https://events.aidainternational.org/EventResults-2274"
"108.","Augustin Di Francisco","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000608","(Argentina)","60 m","60 m","60","0","2007-09-15","1st Blue Lake Invitational 2007","https://events.aidainternational.org/EventResults-488"
"109.","Federico Mana","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000803","(Italy)","60 m","60 m","60","0","2007-10-27","4th AIDA Individual World Championship","https://events.aidainternational.org/EventResults-955"
"110.","Manolis Giankos","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000005e","(Greece)","60 m","60 m","60","0","2009-09-13","AIDA Hellas Freediving Championship 2009","https://events.aidainternational.org/EventResults-1475"
"111.","Nicola Roderick","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000006a3","(New Zealand)","60 m","60 m","60","0","2010-06-14","3rd Mediterranean Freediving Meeting","https://events.aidainternational.org/EventResults-1478"
"112.","Gordon Savic","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000003df","(Serbia)","60 m","60 m","60","0","2010-09-26","Triple Depth 2010","https://events.aidainternational.org/EventResults-973"
"113.","Edmund Wardle","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000a90","(United Kingdom)","60 m","60 m","60","0","2011-09-15","AIDA Individual Depth World Championship 2011","https://events.aidainternational.org/EventResults-917"
"114.","Jeanine Grasmeijer","https://athletes.aidainternational.org/Profile-d7eb770f-a9f5-4c1d-b239-9113613fab8c","(Netherlands)","60 m","60 m","60","0","2013-09-15","AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","https://events.aidainternational.org/EventResults-928"
"115.","Sofia Gomez","https://athletes.aidainternational.org/Profile-c42a957a-cc46-44c5-b43e-e578eaa3ccb3","(Colombia)","60 m","60 m","60","0","2016-05-30","Caribbean Cup 2016","https://events.aidainternational.org/EventResults-95"
"116.","Tom Vanzieleghem","https://athletes.aidainternational.org/Profile-83f0b71b-e5e9-4934-a391-ee9c4c155d2b","(Belgium)","60 m","60 m","60","0","2017-11-30","Sail Sabang Freediving Competition 2017","https://events.aidainternational.org/EventResults-1958"
"117.","Zhu Lin","https://athletes.aidainternational.org/Profile-91c9a9cf-d96d-4075-bb78-812ba801b94c","(China)","60 m","60 m","60","0","2018-03-31","Apnea Bali Mini Comp","https://events.aidainternational.org/EventResults-2061"
"118.","Alfredo Roen","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e02","(Spain)","60 m","60 m","60","0","2018-07-17","Vertical Blue","https://events.aidainternational.org/EventResults-2117"
"119.","Martin Zajac","https://athletes.aidainternational.org/Profile-951fa98f-7e76-44e7-b295-e91d4a13f484","(Slovakia)","60 m","60 m","60","0","2018-07-25","Vertical Blue","https://events.aidainternational.org/EventResults-2117"
